Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Hospital-owned clinic,11-20 years,"No, and I have no plans to become a delegate",Stop and chop,Enhanced Monofocal IOLs,Intraoperative wavefront aberrometry,,5-Jan,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,0-5 years,"No, and I have no plans to become a delegate",Vertical chop,Other,,,26-50,After first-line medication,240-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Public hospital,11-20 years,"No, and I have no plans to become a delegate",Horizontal chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,100 or more,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Private hospital,21-30 years,Yes,,Trifocal IOLs,Digital image registration,Wavefront-customized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,6-10 years,Yes,,Extended depth of focus IOLs,Digital image registration,Topography-customized,100 or more,After first-line medication,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Digital image registration,Standard ablations,26-50,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Surgeon-owned clinic,6-10 years,Yes,,Trifocal IOLs,,Wavefront-customized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Surgeon-owned clinic,21-30 years,Yes,Other,Extended depth of focus IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,11-25,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Private hospital,21-30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,6-10 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Surgeon-owned clinic,11-20 years,,Vertical chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,Femtosecond intrastromal lenticule extraction ,10-Jun,First line,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,21-30 years,"No, and I have no plans to become a delegate",,,,,26-50,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Public hospital,0-5 years,Yes,Divide and conquer,Trifocal IOLs,,Wavefront-optimized,26-50,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Corporate-owned clinic,0-5 years,Yes,Stop and chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Private hospital,11-20 years,"No, and I have no plans to become a delegate",,,,,51-99,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Surgeon-owned clinic,11-20 years,Yes,Stop and chop,,,Other,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Corporate-owned clinic,Over 30 years,Yes,Stop and chop,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Surgeon-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,,Other,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Public hospital,6-10 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,,10-Jun,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Hospital-owned clinic,6-10 years,"No, and I have no plans to become a delegate",,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,51-99,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hospital-owned clinic,,"No, and I have no plans to become a delegate",Stop and chop,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Trifocal IOLs,,Standard ablations,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,11-20 years,Yes,,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Corporate-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Hospital-owned clinic,Over 30 years,Yes,Stop and chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,26-50,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Surgeon-owned clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Public hospital,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,Wavefront-optimized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Other,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Public hospital,Currently in training,Yes,Divide and conquer,Extended depth of focus IOLs,Anatomical landmarks without preoperative marking,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,Digital image registration,Wavefront-optimized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",Divide and conquer,Extended depth of focus IOLs,,,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Corporate-owned clinic,11-20 years,Yes,,Bifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Topography-customized,11-25,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Private hospital,11-20 years,Yes,,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Surgeon-owned clinic,11-20 years,Yes,,,,Standard ablations,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Surgeon-owned clinic,11-20 years,Yes,,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Femtosecond intrastromal lenticule extraction ,51-99,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Retired or do not currently perform surgery,Over 30 years,Yes,,,,Wavefront-customized,5-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Corporate-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,11-25,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Public hospital,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Hospital-owned clinic,0-5 years,"No, and I have no plans to become a delegate",,,,,11-25,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Academic institution or non-profit,11-20 years,Yes,Divide and conquer,Trifocal IOLs,Digital image registration,Other,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,Currently in training,"No, and I have no plans to become a delegate",Divide and conquer,Trifocal IOLs,,Wavefront-customized,51-99,After two medications,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Hospital-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private hospital,Over 30 years,Yes,Vertical chop,,,,10-Jun,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Public hospital,6-10 years,"No, and I have no plans to become a delegate",Vertical chop,Trifocal IOLs,Digital image registration,,10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Private hospital,6-10 years,Yes,Stop and chop,Trifocal IOLs,Digital image registration,,51-99,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Public hospital,Currently in training,Yes,Vertical chop,,Ink marking at the slit lamp with no additional instruments,,11-25,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,0-5 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,11-25,I do not perform surgical interventions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Hospital-owned clinic,Currently in training,Yes,,,,,51-99,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,51-99,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Hospital-owned clinic,6-10 years,Yes,Stop and chop,,Ink marking at the slit lamp with no additional instruments,Topography-customized,11-25,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,100 or more,First line,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Public hospital,6-10 years,"No, and I have no plans to become a delegate",Divide and conquer,,,,100 or more,First line,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,11-25,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Academic institution or non-profit,21-30 years,Yes,Divide and conquer,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,,Topography-customized,26-50,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,51-99,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Public hospital,0-5 years,Yes,Divide and conquer,,,,10-Jun,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Hospital-owned clinic,6-10 years,"No, and I have no plans to become a delegate",,,,,10-Jun,After three medications,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Public hospital,11-20 years,Yes,Stop and chop,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,Digital image registration,,26-50,After three medications,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,,,Other,100 or more,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Currently in training,"No, and I have no plans to become a delegate",Vertical chop,,Digital image registration,,100 or more,After first-line medication,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,,,,10-Jun,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",Vertical chop,Extended depth of focus IOLs,Digital image registration,Other,11-25,After first-line medication,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Corporate-owned clinic,21-30 years,Yes,Stop and chop,Bifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,100 or more,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Over 30 years,Yes,,,Ink marking at the slit lamp with no additional instruments,,26-50,I do not perform surgical interventions,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,Currently in training,,,,,,51-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,100 or more,After two medications,240-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the",Public hospital,Over 30 years,Yes,Divide and conquer,Other,,,26-50,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Academic institution or non-profit,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,51-99,After three medications,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Other (Please specify.) ,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Hospital-owned clinic,11-20 years,Yes,Horizontal chop,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Retired or do not currently perform surgery,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Surgeon-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,51-99,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Private hospital,6-10 years,"No, and I have no plans to become a delegate",Stop and chop,Bifocal IOLs,Ink marking at the slit lamp with no additional instruments,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Public hospital,Currently in training,Yes,,,,,11-25,After two medications,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,Digital image registration,Standard ablations,100 or more,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Over 30 years,Yes,Divide and conquer,,Ink marking at the slit lamp with no additional instruments,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Surgeon-owned clinic,Over 30 years,Yes,Divide and conquer,Extended depth of focus IOLs,,Wavefront-optimized,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Trifocal IOLs,,Wavefront-optimized,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,Topography-customized,100 or more,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Private hospital,11-20 years,Yes,,Extended depth of focus IOLs,Digital image registration,Wavefront-optimized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Academic institution or non-profit,Over 30 years,Yes,Vertical chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,51-99,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Hospital-owned clinic,Over 30 years,Yes,Stop and chop,Trifocal IOLs,Digital image registration,Other,10-Jun,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Surgeon-owned clinic,Currently in training,"No, and I have no plans to become a delegate",,,,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,Hospital-owned clinic,0-5 years,Yes,,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,100 or more,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Academic institution or non-profit,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Hospital-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,11-25,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
